review,sentiment,length_cat
"Sound seemed okay. The wire is kinda big and clunky. The device was easy to connect, however, the issue I had with these are that the over the ear flips must be too flimsy because when I was taking them out of the plastic, one was already broken.",0,1
"What can I say, it's &#34;memory&#34; and we all need it for our electronics someday, somewhere, and we never have enough",2,0
"These are probably okay if you're not challenged like I am.  I actually caught both on fire (gas stovetop) accidentally -- up in flames!  Also, they tend to slip a little, since there's no 'grip' on the inside to hug (for example) a cast iron handle.  I'd suggest them more for stainless steel pot handles, rather than low-lying skillets (proximity to flame.)Again, a little bit of user error there, but given the choice, I'd choose silicone!",1,1
"These are great quality pillows, but they are a bit too soft! I would love them if they had a bit more firmness.  That said, you can fold 'em up any type of way to form a great sleeping surface.  Not a waste of money by any means - only buy if you love extra soft pillows!",1,1
"Iomega disks have to be the worst form of storage media ever  created. They are easily corruptable. I can't tell you the number of disks I've had to throw away because they have died on me. They've destroyed projects that I've saved on them. Projects that were unretrievable because all of a sudden the disk cannot be read by the computer or even worse freezes the computer.On top of all this, Iomega disks are way too expensive for being such a bad product. I even had to ask an Iomega technician what I was doing wrong. After going over possible scenerios of what I've might of done, we both concluded it wasn't me but indeed there was something wrong with the disks.My advice is to stay away from Iomega disks and all other Iomega products and go with CD-RW disks of any brand. They store more info, are much cheaper and are much more reliable.",0,2
"I purchased this product from Amazon.com.  Their sales, product shipping all was excellent. I received the router within 3 business days, at regular shipping. Great...Well, that is when the problems began.  The software included with the router did not set up the router properly (I followed the instructions to the letter). Following that failure, I spent over 2 hours with a very patient and cordial Linksys Rep. who helped me set it up...at least to the point that it would let my computers access the internet. The USB port on this unit has proved to be worthless, as I cannot access the additional storage drive from my wireless laptop, or the hard wired PC machine. This port was included by Linksys to add an additional storage device... Using a USB Port on a hub works much better.I will have to call Linksys again to try and resolve this storage drive problem as well as the fact that I cannot communicate wirelessly with my wireless HP Printer. The printer was working fine on the old Linksys Router. If I had it to do over again, I would keep my money and the old router... the set up problems, the lack of performance for the storage port are not worth the additional cost of this router...",0,2
"Just wanted to say I was not inpressed with using it to make cold froth, it was better if you heated the milk in the microwave first but when I bought the cappuccino machine with steam frother and used it with this it was fantastic, probably could use any narrow glass with it.",1,1
"The hardware here seems to work just fine, but be warned that you will be VERY limited with what you can do with the photos once they're on your device. Want to delete an album? You can't. It's impossible. There is absolutely no way to do it if it wasn't sync'd through iTunes.So, your iPad will fill up with photos from the camera connection kit and you will have two options: reformat your iPad completely or sift through thousands upon thousands of individual photos and delete them one by one. I'm sure if Steve Jobs was still around he would have a solution for us: ""iPad Full? Just buy a new iPad!""Getting photos onto the iPad is great. Getting them off will be your worst nightmare. I'd recommend avoiding the situation altogether and not using an iPad in any way for photo management. I'd recommend using an Android tablet for photo management or shoving red hot needles into your eyeballs both as viable options over trying to use the camera connection kit for anything useful.",0,2
"These items arrived with peeling clear coat & cracked wood (not damaged durinf shipping). They did appear brand new, but poorly manufactured.",0,0
"This item should be listed as temporarily unavailabe. The listing says it might take an extra day to ship. My confirmation says to expect to wait at least a month. If I didn't need it now, I wouldn't have ordered it.",0,1
